Genome,genomeId,sampleId,sampleName,AssemblyAccession,AssemblyName,SpeciesName,taxonomy_check_status,strain,virulence,virulence_pcr,geo_loc_country,continent,host,isolation_source,collection_year,collected_by,env_broad_scale,type_material,source,representative_status,sample_type,length,N50,L50,n_contigs,nodepath.ani_upgma,nodepath.ani_nj,nodepath.kmer_upgma,nodepath.kmer_nj,nodepath.core_snp_ml
105,g_105,GCF_020406695.1_ASM2040669v1,GCF_020406695.1,GCF_020406695.1,ASM2040669v1,P. polaris,OK,A668-S6-A17,NA,NA,France,Europe,NA,fresh river water,2017,NA,fresh river water,NA,NCBI,NA,NA,4968360,306002,6,48,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;n157;n158;n159;g_105,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n296;n297;n298;n299;n301;g_105,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n155;n156;n157;n158;g_105,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n167;n168;n169;n170;n171;g_105,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n281;n283;n284;g_105
106,g_106,GCF_020406635.1_ASM2040663v1,GCF_020406635.1,GCF_020406635.1,ASM2040663v1,P. carotovorum,OK,A280-S2-N16,NA,NA,France,Europe,NA,fresh river water,2016,NA,fresh river water,NA,NCBI,NA,NA,4715022,142001,11,75,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n306;n307;g_106,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n164;g_106,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n306;n307;n308;n314;g_106,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n333;n334;n342;g_106,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n430;n435;g_106
107,g_107,GCF_020406615.1_ASM2040661v1,GCF_020406615.1,GCF_020406615.1,ASM2040661v1,P. versatile,OK,A546-S4-A17,NA,NA,France,Europe,NA,fresh river water,2017,NA,fresh river water,NA,NCBI,NA,NA,4897787,245270,7,49,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n235;n236;n241;g_107,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n62;g_107,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n238;n239;g_107,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n440;n441;n442;n443;g_107,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n352;n353;n360;n361;n370;n372;g_107
108,g_108,GCF_020297385.1_ASM2029738v1,GCF_020297385.1,GCF_020297385.1,ASM2029738v1,P. brasiliense,OK,SR7,NA,NA,United States,North America,NA,Pumpkin,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,4854747,209828,9,49,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n130;n131;n132;g_108,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n349;n350;n351;n352;g_108,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n133;n134;g_108,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n145;n146;n147;g_108,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n256;g_108
109,g_109,GCF_020296625.1_ASM2029662v1,GCF_020296625.1,GCF_020296625.1,ASM2029662v1,P. brasiliense,OK,SR6,NA,NA,United States,North America,NA,squash,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,4853882,408271,5,35,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n130;n131;n132;n133;g_109,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n349;n350;g_109,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n133;n134;n135;g_109,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n145;n146;g_109,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n256;n257;n258;g_109
110,g_110,GCF_020295645.1_ASM2029564v1,GCF_020295645.1,GCF_020295645.1,ASM2029564v1,P. versatile,OK,SR2,NA,NA,United States,North America,NA,carrot,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,5028729,187897,9,66,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n273;n274;n276;g_110,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n100;n101;g_110,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n262;n263;n264;n265;n266;g_110,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n379;n387;n388;n389;g_110,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n334;n335;g_110
111,g_111,GCF_020295605.1_ASM2029560v1,GCF_020295605.1,GCF_020295605.1,ASM2029560v1,P. brasiliense,OK,SR5,NA,NA,United States,North America,NA,pepper,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,4851919,538423,4,31,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n130;n131;n132;n133;n134;g_111,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n349;n350;n351;n353;g_111,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n133;n134;n135;n136;n137;g_111,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n145;n146;n147;n148;n149;g_111,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n256;n257;n258;n259;n260;g_111
112,g_112,GCF_020295565.1_ASM2029556v1,GCF_020295565.1,GCF_020295565.1,ASM2029556v1,P. versatile,OK,SR3,NA,NA,United States,North America,NA,carrot,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,5028769,187900,9,71,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n273;n274;n275;g_112,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n100;n101;n102;g_112,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n262;n263;n264;g_112,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n379;n387;g_112,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n334;n335;n336;n337;g_112
113,g_113,GCF_020295515.1_ASM2029551v1,GCF_020295515.1,GCF_020295515.1,ASM2029551v1,P. versatile,OK,SR4,NA,NA,United States,North America,NA,potato,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,5028790,187897,9,68,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n273;n274;n275;g_113,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n100;n101;n102;n103;g_113,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n262;n263;n264;n265;g_113,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n379;n387;n388;g_113,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n334;n335;n336;g_113
114,g_114,GCF_020295505.1_ASM2029550v1,GCF_020295505.1,GCF_020295505.1,ASM2029550v1,P. brasiliense,OK,SR8,NA,NA,United States,North America,NA,squash,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,4856264,199289,7,53,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n130;n131;n132;n133;n134;g_114,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n349;n350;n351;n352;g_114,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n133;n134;n135;n136;g_114,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n145;n146;n147;n148;g_114,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n256;n257;n258;n259;g_114
115,g_115,GCF_020295425.1_ASM2029542v1,GCF_020295425.1,GCF_020295425.1,ASM2029542v1,P. brasiliense,OK,SR11,NA,NA,United States,North America,NA,Pumpkin,2019,Chloe Wasendorf,NA,NA,NCBI,NA,Whole organism,4850767,418405,4,33,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n127;n128;n129;n130;n131;g_115,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n339;n340;n348;n349;n350;n351;n353;g_115,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n129;n130;n131;n132;n133;n134;n135;n136;n137;g_115,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;n134;n145;n146;n147;n148;n149;g_115,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;n249;n250;n251;n252;n254;n256;n257;g_115
116,g_116,GCF_020181655.1_ASM2018165v1,GCF_020181655.1,GCF_020181655.1,ASM2018165v1,P. colocasium,OK,LJ1,NA,NA,China,Asia,potato,NA,2019,NA,NA,type strain,NCBI,NA,cell culture,4912018,4912018,1,1,n1;n2;n3;n4;n343;n376;g_116,n1;n453;n180;n179;n258;n291;g_116,n1;n2;n3;n4;n5;n344;n377;g_116,n1;n453;n252;n199;n198;n277;n310;g_116,n1;n453;n13;n14;n47;g_116
117,g_117,GCF_020181375.1_ASM2018137v1,GCF_020181375.1,GCF_020181375.1,ASM2018137v1,P. aroidearum,corrected,LJ2,NA,NA,China,Asia,potato,NA,2019,NA,NA,NA,NCBI,NA,cell culture,4857800,4857800,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n349;n353;g_117,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n264;n268;g_117,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n352;g_117,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n284;n285;n286;g_117,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n27;n31;g_117
118,g_118,GCF_020166465.1_ASM2016646v1,GCF_020166465.1,GCF_020166465.1,ASM2016646v1,P. versatile,corrected,KC02,NA,NA,China,Asia,Chinese cabbage,NA,2015,NA,NA,NA,NCBI,NA,tissue sample,4882392,209432,10,98,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n287;n288;g_118,n1;n453;n180;n179;n28;n29;n30;n31;n32;n122;n123;g_118,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n287;n288;g_118,n1;n453;n252;n199;n198;n197;n9;n8;n7;n367;n368;g_118,n1;n453;n13;n12;n11;n10;n9;n316;n406;n407;g_118
119,g_119,GCF_020166455.1_ASM2016645v1,GCF_020166455.1,GCF_020166455.1,ASM2016645v1,P. versatile,corrected,KC03,NA,NA,China,Asia,Chinese cabbage,NA,2015,NA,NA,NA,NCBI,NA,tissue sample,4880115,204025,9,88,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n287;n288;g_119,n1;n453;n180;n179;n28;n29;n30;n31;n32;n122;n123;g_119,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n287;n288;g_119,n1;n453;n252;n199;n198;n197;n9;n8;n7;n367;n368;g_119,n1;n453;n13;n12;n11;n10;n9;n316;n406;n407;g_119
120,g_120,GCF_020166435.1_ASM2016643v1,GCF_020166435.1,GCF_020166435.1,ASM2016643v1,P. versatile,corrected,KC01,NA,NA,China,Asia,Chinese cabbage,NA,2015,NA,NA,NA,NCBI,NA,tissue sample,4834266,221615,7,69,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n287;g_120,n1;n453;n180;n179;n28;n29;n30;n31;n32;n122;g_120,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n287;g_120,n1;n453;n252;n199;n198;n197;n9;n8;n7;n367;g_120,n1;n453;n13;n12;n11;n10;n9;n316;n406;g_120
121,g_121,GCF_020047135.1_ASM2004713v1,GCF_020047135.1,GCF_020047135.1,ASM2004713v1,P. polaris,OK,QK413-1,NA,NA,China,Asia,Solanum tuberosum L.,NA,2018,Huawei Li,NA,NA,NCBI,NA,pure culture,5005507,5005507,1,1,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;g_121,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n296;n297;g_121,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n155;n156;n160;g_121,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n167;g_121,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n281;n283;g_121
122,g_122,GCF_019426305.1_ASM1942630v1,GCF_019426305.1,GCF_019426305.1,ASM1942630v1,P. polaris,OK,A3,NA,NA,Mexico,North America,Cephalocereus tetetzo,NA,2017,NA,NA,NA,NCBI,NA,Bacteria isolated in culture media,4873548,59089,26,151,n1;n2;n3;n4;n5;n6;n7;n8;n146;n147;n148;n149;n150;n151;n152;n153;n154;n155;n156;n157;n158;n160;g_122,n1;n453;n180;n179;n28;n27;n292;n293;n294;n295;n296;n297;n298;n299;n300;g_122,n1;n2;n3;n4;n5;n6;n7;n8;n9;n149;n150;n151;n152;n153;n154;n155;n156;n157;n159;g_122,n1;n453;n252;n199;n198;n197;n9;n10;n11;n151;n152;n164;n165;n166;n167;n168;n169;g_122,n1;n453;n13;n12;n11;n125;n126;n266;n276;n277;n278;n279;n280;n285;n286;g_122
123,g_123,GCF_018728555.1_ASM1872855v1,GCF_018728555.1,GCF_018728555.1,ASM1872855v1,P. punjabense,OK,RNS08-28,NA,NA,France,Europe,Solanum tuberosum,NA,2008,Angelique Laurent,NA,NA,NCBI,NA,Tissue sample,4702442,77004,20,105,n1;n2;n3;n377;n378;n418;n419;n420;n421;n422;g_123,n1;n453;n180;n181;n182;n183;n223;n224;n225;n226;g_123,n1;n2;n3;n402;n442;n443;n444;n445;n446;g_123,n1;n453;n252;n199;n200;n201;n241;n242;n243;n244;g_123,n1;n453;n13;n12;n48;n49;n50;n51;n54;n55;n57;g_123
124,g_124,GCF_018634035.1_ASM1863403v1,GCF_018634035.1,GCF_018634035.1,ASM1863403v1,P. atrosepticum,OK,Green1,NA,NA,Greenland,North America,Solanum tuberosum,agriculture field in Greenland,2019,NA,NA,NA,NCBI,NA,cell culture,4959719,4959719,1,1,n1;n2;n3;n377;n430;n431;n432;n433;n434;n435;n436;n437;n438;n439;g_124,n1;n453;n180;n181;n234;n235;n236;n237;n238;n239;n240;n241;n242;g_124,n1;n2;n3;n4;n378;n379;n380;n381;n382;n383;n384;n385;g_124,n1;n453;n252;n253;n254;n255;n256;n257;n258;n259;n260;g_124,n1;n453;n13;n12;n48;n101;n102;n103;n104;n105;n107;n108;g_124
125,g_125,GCF_018344415.1_ASM1834441v1,GCF_018344415.1,GCF_018344415.1,ASM1834441v1,P. punjabense,OK,P9A19a,NA,NA,France,Europe,Solanum tuberosum,NA,2015,Pauline Dewaegeneire,NA,NA,NCBI,NA,Tissue sample,4731224,192539,8,50,n1;n2;n3;n377;n378;n418;n419;n420;n426;g_125,n1;n453;n180;n181;n182;n183;n223;n224;n230;g_125,n1;n2;n3;n402;n442;n443;n444;n450;n451;g_125,n1;n453;n252;n199;n200;n201;n241;n242;n248;n249;g_125,n1;n453;n13;n12;n48;n49;n50;n51;n54;n60;g_125
126,g_126,GCF_018219365.1_ASM1821936v1,GCF_018219365.1,GCF_018219365.1,ASM1821936v1,P. versatile,OK,DSM 30169,NA,NA,Germany,Europe,Brassica oleracea var. capitate (cabbage),soft rot,2010,NA,NA,NA,NCBI,NA,cell,5303971,5303971,1,1,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n266;n267;n271;n272;g_126,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n105;n106;n110;n111;g_126,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n270;n275;g_126,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n379;n380;n385;g_126,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n327;n332;n333;g_126
127,g_127,GCF_018095765.1_ASM1809576v1,GCF_018095765.1,GCF_018095765.1,ASM1809576v1,P. versatile,OK,NY1753B,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,5048059,85073,22,137,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n231;n232;n233;g_127,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n94;n95;n96;n97;g_127,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n251;n258;n259;n260;g_127,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n395;n396;n397;n401;n402;g_127,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n397;n398;g_127
128,g_128,GCF_018095745.1_ASM1809574v1,GCF_018095745.1,GCF_018095745.1,ASM1809574v1,P. versatile,OK,NY1715C,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,5188563,63712,24,196,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n231;n234;g_128,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n94;n95;n98;g_128,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n251;n258;n261;g_128,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n395;n396;n403;g_128,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n338;n340;n341;g_128
129,g_129,GCF_018095725.1_ASM1809572v1,GCF_018095725.1,GCF_018095725.1,ASM1809572v1,P. versatile,OK,NY1705A,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,5048337,75159,22,135,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n231;n232;n233;g_129,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n93;n94;n95;n96;n97;g_129,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n250;n251;n258;n259;n260;g_129,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n395;n396;n397;n401;n402;g_129,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n397;n398;g_129
130,g_130,GCF_018094745.1_ASM1809474v1,GCF_018094745.1,GCF_018094745.1,ASM1809474v1,P. versatile,OK,NY1762B,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,4954738,73104,20,155,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n284;n285;g_130,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n117;n118;g_130,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n283;n284;n285;g_130,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n369;n370;n371;n372;g_130,n1;n453;n13;n12;n11;n10;n9;n316;n317;n403;n405;g_130
131,g_131,GCF_018094705.1_ASM1809470v1,GCF_018094705.1,GCF_018094705.1,ASM1809470v1,P. versatile,OK,NY1766A,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,4958443,66537,23,147,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;g_131,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;g_131,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n283;n284;g_131,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n369;n370;g_131,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n402;g_131
132,g_132,GCF_018094685.1_ASM1809468v1,GCF_018094685.1,GCF_018094685.1,ASM1809468v1,P. versatile,OK,NY1765A,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,5015717,87373,19,148,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n213;n214;n215;n216;n217;g_132,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n39;n40;n41;n42;n43;n44;n45;n46;n47;n48;n49;g_132,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n206;n207;n208;n209;n210;n211;n212;n213;n214;n215;n216;n217;g_132,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n3;n410;n411;n412;n413;n414;n415;n416;n417;g_132,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n351;n385;n387;n388;n389;g_132
133,g_133,GCF_018094665.1_ASM1809466v1,GCF_018094665.1,GCF_018094665.1,ASM1809466v1,P. versatile,OK,NY1788A,NA,NA,United States,North America,potato,NA,2017,NA,NA,NA,NCBI,NA,Tissue,5198005,47249,33,224,n1;n2;n3;n4;n5;n6;n194;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n205;n265;n266;n267;n271;g_133,n1;n453;n180;n179;n28;n29;n30;n31;n32;n33;n34;n35;n36;n37;n38;n91;n92;n105;n106;n110;g_133,n1;n2;n3;n4;n5;n6;n7;n195;n196;n197;n198;n199;n200;n201;n202;n203;n204;n270;n275;n276;g_133,n1;n453;n252;n199;n198;n197;n9;n8;n7;n6;n5;n4;n375;n376;n377;n378;n379;n380;n385;n386;g_133,n1;n453;n13;n12;n11;n10;n9;n316;n317;n318;n319;n320;n321;n322;n323;n324;n325;n326;n327;n332;g_133
134,g_134,GCF_017255075.1_ASM1725507v1,GCF_017255075.1,GCF_017255075.1,ASM1725507v1,P. brasiliense,OK,BL-2,NA,NA,China,Asia,potato,NA,2018,NA,cool,NA,NCBI,NA,NA,4797660,357113,5,31,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n58;n71;n72;g_134,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n16;n15;n14;n13;n413;n414;g_134,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n69;n70;n71;g_134,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n71;n72;g_134,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n136;n137;n138;n139;n187;n190;g_134
135,g_135,GCF_015689195.1_ASM1568919v1,GCF_015689195.1,GCF_015689195.1,ASM1568919v1,P. aroidearum,corrected,L6,NA,NA,China,Asia,Syngonium podophyllum,leaf,2019,Peidong Xu and Huanwei Wang and Chunxiu Qin and Zengping Li and Chunhua Lin and Wenbo Liu,NA,NA,NCBI,representative genome,NA,4995896,4995896,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n349;n353;g_135,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n264;n268;g_135,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n357;g_135,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n284;n285;g_135,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n34;g_135
136,g_136,GCF_016988595.1_ASM1698859v1,GCF_016988595.1,GCF_016988595.1,ASM1698859v1,P. brasiliense,OK,IPO:3649 NAK:55,avirulent,negative,Netherlands,Europe,Solanum tuberosum,Asymptomatic Potato Heel end,2013,Robert Vreeburg,NA,NA,NCBI,NA,cell culture,5008400,223323,7,51,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;n102;g_136,n1;n453;n180;n179;n28;n27;n26;n25;n24;n23;n22;n21;n20;n19;n18;n17;n379;n380;n381;n382;n383;n384;n386;g_136,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;n92;n93;n104;g_136,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n14;n15;n16;n17;n18;n19;n88;n89;n90;n91;n92;n93;n94;n98;n99;g_136,n1;n453;n13;n12;n11;n125;n126;n127;n128;n129;n130;n131;n132;n133;n134;n135;n204;n205;n206;n207;g_136
137,g_137,GCF_016950315.1_ASM1695031v1,GCF_016950315.1,GCF_016950315.1,ASM1695031v1,P. brasiliense,corrected,IPO:0590,NA,NA,Peru,South America,Solanum tuberosum,NA,1979,NA,NA,NA,NCBI,NA,cell culture,4912014,79855,20,120,n1;n2;n3;n4;n5;n6;n7;n8;n9;g_137,n1;n453;n180;n179;n28;n27;n26;n25;n24;g_137,n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;g_137,n1;n453;n252;n199;n198;n197;n9;n10;n11;n12;n13;n133;g_137,n1;n453;n13;n12;n11;n125;n126;n127;n128;n248;g_137
